postcode,message
BT429DH,No coordinates found for postcode
BT429DJ,No coordinates found for postcode
BT429DL,No coordinates found for postcode
BT429DN,No coordinates found for postcode
BT429DT,No coordinates found for postcode
BT429EF,No coordinates found for postcode
BT429EP,No coordinates found for postcode
BT429EQ,No coordinates found for postcode
BT429ES,No coordinates found for postcode
BT429EU,No coordinates found for postcode
BT429EY,No coordinates found for postcode
BT429EZ,No coordinates found for postcode
BT429FD,No coordinates found for postcode
BT429SA,No coordinates found for postcode
BT429SB,No coordinates found for postcode
BT429SD,No coordinates found for postcode
BT429SE,No coordinates found for postcode
BT429SF,No coordinates found for postcode
BT429SG,No coordinates found for postcode
BT429SJ,No coordinates found for postcode
BT429SL,No coordinates found for postcode
BT429SN,No coordinates found for postcode
BT429SQ,No coordinates found for postcode
BT429SR,No coordinates found for postcode
BT429SS,No coordinates found for postcode
BT429ST,No coordinates found for postcode
BT429SU,No coordinates found for postcode
BT429SW,No coordinates found for postcode
BT429SX,No coordinates found for postcode
BT429SY,No coordinates found for postcode
BT429SZ,No coordinates found for postcode
BT429TB,No coordinates found for postcode
BT429TD,No coordinates found for postcode
BT429TE,No coordinates found for postcode
BT429ZZ,No coordinates found for postcode
BT435LL,No coordinates found for postcode
BT455FL,No coordinates found for postcode
BT459AE,No coordinates found for postcode
BT459AQ,No coordinates found for postcode
BT459AS,No coordinates found for postcode
BT459BJ,No coordinates found for postcode
BT459BL,No coordinates found for postcode
BT459BN,No coordinates found for postcode
BT459SA,No coordinates found for postcode
BT459SB,No coordinates found for postcode
BT459SD,No coordinates found for postcode
BT459SE,No coordinates found for postcode
BT459SF,No coordinates found for postcode
BT459SG,No coordinates found for postcode
BT459SH,No coordinates found for postcode
BT459SJ,No coordinates found for postcode
BT459SL,No coordinates found for postcode
BT459SN,No coordinates found for postcode
BT459SP,No coordinates found for postcode
BT459SQ,No coordinates found for postcode
BT459SR,No coordinates found for postcode
BT459SS,No coordinates found for postcode
BT459ST,No coordinates found for postcode
BT459SU,No coordinates found for postcode
BT465BY,No coordinates found for postcode
BT472FA,No coordinates found for postcode
BT473FR,No coordinates found for postcode
BT473FS,No coordinates found for postcode
BT473GZ,No coordinates found for postcode
BT480GQ,No coordinates found for postcode
BT480GR,No coordinates found for postcode
BT487BT,No coordinates found for postcode
BT487HD,No coordinates found for postcode
BT5 6QY,No coordinates found for postcode
